experimento	fecha	cols	rows	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8122HTe	20220717 161556	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.138375398028985	0.651698108200393	333	2010	3.87743206818806	53.6565790556548	12.8698777409494	0.902315803439174	55	0.213189150186302	8288	13912000	70
8122HTe	20220717 161605	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.234982991956573	0.371473160266805	1298	1721	8.51520004933032	72.7582660574656	6.79751358680422	0.614237411350287	37	0.165822557342765	10596	14604000	71
8122HTe	20220717 161613	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.150412669350539	0.168355454353321	942	21279	0.289799708094506	150.034235495367	19.7946548412085	0.483740827338885	78	0.212583351863858	10692	13068000	72
8122HTe	20220717 161626	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.255173940089137	0.10338096332226	984	14982	9.71275723883652	174.411640006689	0.0161064625484494	0.530149220402732	430	0.186315538368471	10772	13708000	73
8122HTe	20220717 161638	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.219131777399678	0.549637368986713	1555	8181	1.14033683005922	6.28332818049671	4.80709759745155	0.407761373905103	89	0.211425600354624	9196	14684000	74
8122HTe	20220717 161651	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.108247180214772	0.723735307945801	877	3817	7.23220635205487	67.5750218655931	4.54588415219935	0.666936076128364	134	0.175016431723711	10426	15014000	75
8122HTe	20220717 161659	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.244927744619941	0.249822099716547	1094	2996	3.40918106219175	74.3487703953209	11.272670479736	0.293549276613437	38	0.179367281882525	10152	14328000	76
8122HTe	20220717 161712	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0633424379127069	0.499075322298582	1204	7370	0.644286446848127	37.0657319618696	13.6459730443744	0.681941478696726	126	0.203106076174462	9474	13686000	77
8122HTe	20220717 161724	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.225832557912134	0.333910246787201	87	19117	9.33018532046365	199.85281429867	4.93755566111929	0.428690486266217	175	0.193140272572811	11622	13938000	78
8122HTe	20220717 161741	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.26472237504153	0.622565388580893	701	8790	6.80831834139513	168.200599163844	0.0521413527127505	0.480407824180089	263	0.23143057574423	8214	13986000	79
8122HTe	20220717 161751	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.277990958293091	0.185113513517412	1675	6117	5.25675924361094	147.10194283145	1.74526410718646	0.625002730423806	141	0.208225536394962	9220	15020000	80
8122HTe	20220717 161801	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.282361849999703	0.678620194148694	1472	18332	5.57673050762352	110.119146893916	18.3402687875922	0.407512700894864	56	0.184471320797645	11912	11968000	81
8122HTe	20220717 161816	785	49403	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.20181057569918	0.346265010540019	729	12112	0.370459919585348	145.012906599385	2.25776759587676	0.628669978223986	294	0.237073336607685	8242	13838000	82
